번호,발생시각,년,월 ,일,규모,위도,경도,위치,위도(숫자)
217,2016-11-03,2016,11,3,2.3,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역,35.76 
216,2016-11-03,2016,11,3,2.1,35.75 N,129.18 E,경북 경주시 남남서쪽 10km 지역,35.75 
215,2016-11-02,2016,11,2,2.3,33.53 N,126.88 E,제주 제주시 동쪽 33km 지역,33.53 
214,2016-10-25,2016,10,25,2.4,35.70 N,129.37 E,경북 경주시 남동쪽 21km 지역,35.70 
213,2016-10-25,2016,10,25,2,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역,35.76 
212,2016-10-24,2016,10,24,2.2,37.25 N,127.02 E,경기 수원시 권선구 동쪽 4km 지역,37.25 
211,2016-10-23,2016,10,23,2.7,35.78 N,129.20 E,경북 경주시 남남서쪽 7km 지역,35.78 
210,2016-10-21,2016,10,21,2.6,35.75 N,129.17 E,경북 경주시 남남서쪽 11km 지역,35.75 
209,2016-10-21,2016,10,21,2.2,36.46 N,126.87 E,충남 청양군 동쪽 6km 지역,36.46 
208,2016-10-20,2016,10,20,2.4,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역,35.76 
207,2016-10-15,2016,10,15,2.2,35.76 N,129.17 E,경북 경주시 남남서쪽 10km 지역,35.76 
206,2016-10-15,2016,10,15,2.5,35.74 N,129.18 E,경북 경주시 남남서쪽 11km 지역,35.74 
205,2016-10-14,2016,10,14,2.3,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역,35.76 
204,2016-10-12,2016,10,12,2.9,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,35.76 
203,2016-10-10,2016,10,10,3.3,35.75 N,129.18 E,경북 경주시 남남서쪽 10km 지역,35.75 
202,2016-10-09,2016,10,9,2.2,35.08 N,126.93 E,광주 동구 남쪽 7km 지역,35.08 
201,2016-10-07,2016,10,7,2.2,35.77 N,129.23 E,경북 경주시 남쪽 10km 지역,35.77 
200,2016-10-05,2016,10,5,2.3,38.76 N,125.62 E,북한 황해북도 송림시 북북서쪽 3km 지역,38.76 
199,2016-10-04,2016,10,4,2.6,35.76 N,129.19 E,경북 경주시 남남서쪽9km 지역,35.76 
198,2016-10-02,2016,10,2,3,35.75 N,129.19 E,경북 경주시 남남서쪽10km 지역,35.75 
197,2016-10-01,2016,10,1,2.3,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,35.76 
196,2016-10-01,2016,10,1,2,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,35.76 
195,2016-09-30,2016,9,30,2.2,35.75 N,129.18 E,경북 경주시 남남서쪽 10km 지역,35.75 
194,2016-09-30,2016,9,30,2.3,35.76 N,129.16 E,경북 경주시 남남서쪽 10km 지역,35.76 
193,2016-09-30,2016,9,30,2,35.77 N,129.16 E,경북 경주시 남남서쪽 9km 지역,35.77 
192,2016-09-30,2016,9,30,2.1,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,35.76 
191,2016-09-28,2016,9,28,2.7,35.77 N,129.17 E,경북 경주시 남남서쪽 9km 지역,35.77 
190,2016-09-28,2016,9,28,2.6,38.74 N,125.73 E,북한 황해북도 송림시 동쪽 8km 지역,38.74 
189,2016-09-28,2016,9,28,2.8,38.74 N,125.69 E,북한 황해북도 송림시 동쪽 5km 지역,38.74 
188,2016-09-28,2016,9,28,3.1,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,35.76 
187,2016-09-24,2016,9,24,2.5,35.79 N,129.19 E,경북 경주시 남남서쪽 6km 지역,35.79 
186,2016-09-23,2016,9,23,2.1,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,35.76 
185,2016-09-22,2016,9,22,2.1,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,35.76 
184,2016-09-22,2016,9,22,2.3,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,35.76 
183,2016-09-21,2016,9,21,3.5,35.75 N,129.18 E,경북 경주시 남남서쪽 10km 지역,35.75 
182,2016-09-21,2016,9,21,2.2,35.78 N,129.15 E,경북 경주시 남서쪽 9km 지역,35.78 
181,2016-09-21,2016,9,21,2.9,35.77 N,129.18 E,경북 경주시 남남서쪽 8km 지역,35.77 
180,2016-09-21,2016,9,21,2.1,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,35.76 
179,2016-09-20,2016,9,20,2.1,35.77 N,129.19 E,경북 경주시 남남서쪽 8km 지역,35.77 
178,2016-09-20,2016,9,20,2.5,38.36 N,128.09 E,북한 강원도 양구군 북북동쪽 29km 지역,38.36 
177,2016-09-20,2016,9,20,2.4,35.76 N,129.20 E,경북 경주시 남쪽 9km 지역,35.76 
176,2016-09-19,2016,9,19,2.1,35.75 N,129.17 E,경북 경주시 남남서쪽 11km 지역,35.75 
175,2016-09-19,2016,9,19,4.5,35.74 N,129.18 E,경북 경주시 남남서쪽 11km 지역,35.74 
174,2016-09-19,2016,9,19,2.1,35.76 N,129.17 E,경북 경주시 남남서쪽 10km 지역,35.76 
173,2016-09-18,2016,9,18,2,35.75 N,129.18 E,경북 경주시 남남서쪽 10km 지역,35.75 
172,2016-09-18,2016,9,18,2.4,35.76 N,129.17 E,경북 경주시 남남서쪽 10km 지역,35.76 
171,2016-09-17,2016,9,17,2.1,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,35.76 
170,2016-09-17,2016,9,17,2.1,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,35.76 
169,2016-09-16,2016,9,16,2.2,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,35.76 
168,2016-09-16,2016,9,16,2.1,35.74 N,129.17 E,경북 경주시 남남서쪽 12km 지역,35.74 
167,2016-09-16,2016,9,16,2,35.76 N,129.18 E,경북 경주시 남남서쪽 10km 지역,35.76 
166,2016-09-16,2016,9,16,2,35.75 N,129.18 E,경북 경주시 남남서쪽 10km 지역,35.75 
165,2016-09-16,2016,9,16,2.3,35.76 N,129.17 E,경북 경주시 남남서쪽 10km 지역,35.76 
164,2016-09-16,2016,9,16,2.2,35.78 N,129.19 E,경북 경주시 남남서쪽 7km 지역,35.78 
163,2016-09-15,2016,9,15,2.6,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역,35.76 
162,2016-09-15,2016,9,15,2.2,35.77 N,129.19 E,경북 경주시 남남서쪽 8km 지역,35.77 
161,2016-09-15,2016,9,15,2.7,35.76 N,129.18 E,경북 경주시 남쪽 9km 지역,35.76 
160,2016-09-14,2016,9,14,2.4,35.76 N,129.17 E,경북 경주시 남남서쪽 10km 지역,35.76 
159,2016-09-14,2016,9,14,2.3,35.77 N,129.17 E,경북 경주시 남남서쪽 9km 지역,35.77 
158,2016-09-14,2016,9,14,2.1,35.77 N,129.18 E,경북 경주시 남남서쪽 8km 지역,35.77 
157,2016-09-14,2016,9,14,2.2,35.78 N,129.19 E,경북 경주시 남남서쪽 7km 지역,35.78 
156,2016-09-14,2016,9,14,2.4,33.93 N,126.62 E,전남 완도군 남남서쪽 44km 해역,33.93 
155,2016-09-14,2016,9,14,2.1,35.77 N,129.17 E,경북 경주시 남남서쪽 9km 지역,35.77 
154,2016-09-14,2016,9,14,2.4,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,35.76 
153,2016-09-14,2016,9,14,2.1,35.77 N,129.18 E,경북 경주시 남남서쪽 8km 지역,35.77 
152,2016-09-14,2016,9,14,3,35.75 N,129.18 E,경북 경주시 남남서쪽 11km 지역,35.75 
151,2016-09-13,2016,9,13,2.3,35.73 N,129.36 E,경북 경주시 남동쪽 18km 지역,35.73 
150,2016-09-13,2016,9,13,2.1,35.76 N,129.17 E,경북 경주시 남남서쪽 10km 지역,35.76 
149,2016-09-13,2016,9,13,2.1,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,35.76 
148,2016-09-13,2016,9,13,2,35.77 N,129.18 E,경북 경주시 남남서쪽 9km 지역,35.77 
147,2016-09-13,2016,9,13,2.5,35.75 N,129.18 E,경북 경주시 남남서쪽 10km 지역,35.75 
146,2016-09-13,2016,9,13,2,35.75 N,129.17 E,경북 경주시 남남서쪽 10km 지역,35.75 
145,2016-09-13,2016,9,13,2.5,35.76 N,129.20 E,경북 경주시 남쪽 9km 지역,35.76 
144,2016-09-13,2016,9,13,2.1,35.76 N,129.17 E,경북 경주시 남남서쪽 10km 지역,35.76 
143,2016-09-13,2016,9,13,3,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,35.76 
142,2016-09-13,2016,9,13,2.1,35.77 N,129.17 E,경북 경주시 남남서쪽 9km 지역,35.77 
141,2016-09-13,2016,9,13,2.4,35.77 N,129.17 E,경북 경주시 남남서쪽 9km 지역,35.77 
140,2016-09-13,2016,9,13,2.3,35.77 N,129.17 E,경북 경주시 남남서쪽 9km 지역,35.77 
139,2016-09-13,2016,9,13,2,35.76 N,129.16 E,경북 경주시 남남서쪽 10km 지역,35.76 
138,2016-09-13,2016,9,13,2.2,35.78 N,129.19 E,경북 경주시 남남서쪽 7km 지역,35.78 
137,2016-09-13,2016,9,13,2,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,35.76 
136,2016-09-13,2016,9,13,2.2,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,35.76 
135,2016-09-13,2016,9,13,2,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,35.76 
134,2016-09-13,2016,9,13,2.3,35.78 N,129.19 E,경북 경주시 남남서쪽 7km 지역,35.78 
133,2016-09-13,2016,9,13,2.3,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,35.76 
132,2016-09-13,2016,9,13,2.3,35.76 N,129.17 E,경북 경주시 남남서쪽 10km 지역,35.76 
131,2016-09-13,2016,9,13,3.2,35.76 N,129.17 E,경북 경주시 남남서쪽 10km 지역,35.76 
130,2016-09-13,2016,9,13,2.4,35.77 N,129.18 E,경북 경주시 남남서쪽 8km 지역,35.77 
129,2016-09-13,2016,9,13,2.1,35.77 N,129.19 E,경북 경주시 남남서쪽 8km 지역,35.77 
128,2016-09-13,2016,9,13,2,35.78 N,129.18 E,경북 경주시 남남서쪽 7km 지역,35.78 
127,2016-09-13,2016,9,13,2.3,35.77 N,129.18 E,경북 경주시 남남서쪽 8km 지역,35.77 
126,2016-09-13,2016,9,13,2,35.77 N,129.18 E,경북 경주시 남남서쪽 9km 지역,35.77 
125,2016-09-13,2016,9,13,2,35.77 N,129.19 E,경북 경주시 남남서쪽 8km 지역,35.77 
124,2016-09-13,2016,9,13,2.1,35.76 N,129.17 E,경북 경주시 남남서쪽 10km 지역,35.76 
123,2016-09-13,2016,9,13,2.1,35.78 N,129.19 E,경북 경주시 남남서쪽 7km 지역,35.78 
122,2016-09-13,2016,9,13,2.1,35.75 N,129.17 E,경북 경주시 남남서쪽 11km 지역,35.75 
121,2016-09-13,2016,9,13,2,35.75 N,129.18 E,경북 경주시 남남서쪽 10km 지역,35.75 
120,2016-09-13,2016,9,13,2.2,35.78 N,129.19 E,경북 경주시 남남서쪽 7km 지역,35.78 
119,2016-09-13,2016,9,13,2.1,35.76 N,129.17 E,경북 경주시 남남서쪽 10km 지역,35.76 
118,2016-09-13,2016,9,13,2.5,35.77 N,129.18 E,경북 경주시 남남서쪽 8km 지역,35.77 
117,2016-09-13,2016,9,13,2.2,35.77 N,129.18 E,경북 경주시 남남서쪽 8km 지역,35.77 
116,2016-09-13,2016,9,13,2.3,35.75 N,129.17 E,경북 경주시 남남서쪽 11km 지역,35.75 
115,2016-09-13,2016,9,13,2,35.77 N,129.18 E,경북 경주시 남남서쪽 8km 지역,35.77 
114,2016-09-13,2016,9,13,2.2,35.75 N,129.19 E,경북 경주시 남남서쪽 10km 지역,35.75 
113,2016-09-13,2016,9,13,2,35.77 N,129.17 E,경북 경주시 남남서쪽 9km 지역,35.77 
112,2016-09-13,2016,9,13,2.2,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,35.76 
111,2016-09-13,2016,9,13,3.1,35.78 N,129.21 E,경북 경주시 남쪽 6km 지역,35.78 
110,2016-09-13,2016,9,13,2.1,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역,35.76 
109,2016-09-13,2016,9,13,2.5,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역,35.76 
108,2016-09-13,2016,9,13,2,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,35.76 
107,2016-09-13,2016,9,13,2,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,35.76 
106,2016-09-13,2016,9,13,2.2,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역,35.76 
105,2016-09-12,2016,9,12,2.2,35.77 N,129.19 E,경북 경주시 남남서쪽 8km 지역,35.77 
104,2016-09-12,2016,9,12,3.1,35.75 N,129.18 E,경북 경주시 남남서쪽 10km 지역,35.75 
103,2016-09-12,2016,9,12,3,35.76 N,129.17 E,경북 경주시 남남서쪽 8km 지역,35.76 
102,2016-09-12,2016,9,12,2.1,35.77 N,129.19 E,경북 경주시 남남서쪽 8km 지역,35.77 
101,2016-09-12,2016,9,12,2.4,35.77 N,129.18 E,경북 경주시 남남서쪽 8km 지역,35.77 
100,2016-09-12,2016,9,12,2.2,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,35.76 
99,2016-09-12,2016,9,12,2,35.77 N,129.18 E,경북 경주시 남남서쪽 8km 지역,35.77 
98,2016-09-12,2016,9,12,2.5,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,35.76 
97,2016-09-12,2016,9,12,2.4,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역,35.76 
96,2016-09-12,2016,9,12,2,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,35.76 
95,2016-09-12,2016,9,12,2.1,35.77 N,129.19 E,경북 경주시 남남서쪽 8km 지역,35.77 
94,2016-09-12,2016,9,12,2.1,35.77 N,129.19 E,경북 경주시 남남서쪽 8km 지역,35.77 
93,2016-09-12,2016,9,12,2.2,35.76 N,129.16 E,경북 경주시 남남서쪽 10km 지역,35.76 
92,2016-09-12,2016,9,12,2.6,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역,35.76 
91,2016-09-12,2016,9,12,2.3,35.76 N,129.02 E,경북 경주시 서남서쪽 20km 지역,35.76 
90,2016-09-12,2016,9,12,2.8,35.78 N,129.18 E,경북 경주시 남남서쪽 7km 지역,35.78 
89,2016-09-12,2016,9,12,2.1,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,35.76 
88,2016-09-12,2016,9,12,2.2,35.77 N,129.19 E,경북 경주시 남남서쪽 8km 지역,35.77 
87,2016-09-12,2016,9,12,2,35.77 N,129.19 E,경북 경주시 남남서쪽 8km 지역,35.77 
86,2016-09-12,2016,9,12,2.5,35.77 N,129.18 E,경북 경주시 남남서쪽 8km 지역,35.77 
85,2016-09-12,2016,9,12,2.1,35.77 N,129.17 E,경북 경주시 남남서쪽 9km 지역,35.77 
84,2016-09-12,2016,9,12,2,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,35.76 
83,2016-09-12,2016,9,12,2.6,35.75 N,129.16 E,경북 경주시 남남서쪽 11km 지역,35.75 
82,2016-09-12,2016,9,12,2.9,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역,35.76 
81,2016-09-12,2016,9,12,2.2,35.81 N,129.23 E,경북 경주시 남남동쪽 3km 지역,35.81 
80,2016-09-12,2016,9,12,2.4,35.76 N,129.17 E,경북 경주시 남남서쪽 10km 지역,35.76 
79,2016-09-12,2016,9,12,2.7,35.78 N,129.20 E,경북 경주시 남남서쪽 7km 지역,35.78 
78,2016-09-12,2016,9,12,2.3,35.76 N,129.17 E,경북 경주시 남남서쪽 10km 지역,35.76 
77,2016-09-12,2016,9,12,2.5,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,35.76 
76,2016-09-12,2016,9,12,2.4,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역,35.76 
75,2016-09-12,2016,9,12,2.5,35.79 N,129.20 E,경북 경주시 남남서쪽 5km 지역,35.79 
74,2016-09-12,2016,9,12,3,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,35.76 
73,2016-09-12,2016,9,12,3,35.77 N,129.19 E,경북 경주시 남남서쪽 8km 지역,35.77 
72,2016-09-12,2016,9,12,3,35.78 N,129.20 E,경북 경주시 남남서쪽 7km 지역,35.78 
71,2016-09-12,2016,9,12,2.1,35.76 N,129.19 E,경북 경주시 남남서쪽 11km 지역,35.76 
70,2016-09-12,2016,9,12,3.4,35.75 N,129.18 E,경북 경주시 남남서쪽 10km 지역,35.75 
69,2016-09-12,2016,9,12,3.6,35.75 N,129.18 E,경북 경주시 남남서쪽 12km 지역,35.75 
68,2016-09-12,2016,9,12,3.6,35.78 N,129.19 E,경북 경주시 남남서쪽 7km 지역,35.78 
67,2016-09-12,2016,9,12,5.8,35.76 N,129.19 E,경북 경주시 남남서쪽 8.7km 지역,35.76 
66,2016-09-12,2016,9,12,2.5,35.77 N,129.20 E,경북 경주시 남쪽 8km 지역,35.77 
65,2016-09-12,2016,9,12,2.3,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역,35.76 
64,2016-09-12,2016,9,12,3.1,35.77 N,129.18 E,경북 경주시 남남서쪽 8km 지역,35.77 
63,2016-09-12,2016,9,12,2.7,35.76 N,129.17 E,경북 경주시 남남서쪽 10km 지역,35.76 
62,2016-09-12,2016,9,12,2.7,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,35.76 
61,2016-09-12,2016,9,12,2.6,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역,35.76 
60,2016-09-12,2016,9,12,2.5,35.77 N,129.18 E,경북 경주시 남남서쪽 8km 지역,35.77 
59,2016-09-12,2016,9,12,2.4,35.78 N,129.16 E,경북 경주시 남서쪽 8km 지역,35.78 
58,2016-09-12,2016,9,12,2.4,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,35.76 
57,2016-09-12,2016,9,12,2.1,35.77 N,129.19 E,경북 경주시 남남서쪽 8km 지역,35.77 
56,2016-09-12,2016,9,12,2.2,35.77 N,129.18 E,경북 경주시 남남서쪽 8km 지역,35.77 
55,2016-09-12,2016,9,12,2,35.77 N,129.19 E,경북 경주시 남남서쪽 10km 지역,35.77 
54,2016-09-12,2016,9,12,2.1,35.72 N,129.20 E,경북 경주시 남쪽 15km 지역,35.72 
53,2016-09-12,2016,9,12,3.1,35.77 N,129.19 E,경북 경주시 남남서쪽 8km 지역,35.77 
52,2016-09-12,2016,9,12,2.2,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역,35.76 
51,2016-09-12,2016,9,12,2.4,35.78 N,129.20 E,경북 경주시 남남서쪽 7km 지역,35.78 
50,2016-09-12,2016,9,12,5.1,35.77 N,129.19 E,경북 경주시 남남서쪽 8.2km 지역,35.77 
49,2016-08-30,2016,8,30,2.6,35.55 N,128.03 E,경남 합천군 서쪽 13km 지역,35.55 
48,2016-08-28,2016,8,28,2.1,35.65 N,127.48 E,전북 장수군 서쪽 4km 지역,35.65 
47,2016-08-28,2016,8,28,2.4,38.65 N,127.16 E,북한 강원도 평강 북북서쪽 29km 지역,38.65 
46,2016-08-20,2016,8,20,2.9,33.48 N,127.31 E,제주 서귀포시 성산 동북동쪽 41km 해역,33.48 
45,2016-08-20,2016,8,20,3,38.38 N,128.09 E,북한 강원도 양구군 북북동쪽 32km 지역,38.38 
44,2016-08-18,2016,8,18,2.6,38.84 N,125.70 E,북한 황해북도 송림시 북북동쪽 13km 지역,38.84 
43,2016-08-18,2016,8,18,2.1,37.18 N,125.46 E,인천 옹진군 연평도 남남서쪽 58km 해역,37.18 
42,2016-08-17,2016,8,17,2.9,38.35 N,128.09 E,북한 강원도 양구군 북북동쪽 28km 지역,38.35 
41,2016-08-16,2016,8,16,2.4,36.75 N,128.84 E,경북 안동시 북북동쪽 22km 지역,36.75 
40,2016-07-30,2016,7,30,2.3,33.06 N,126.33 E,제주 서귀포시 남서쪽 27km 해역,33.06 
39,2016-07-14,2016,7,14,2.8,35.12 N,130.24 E,울산 동구 동남동쪽 86km 해역,35.12 
38,2016-07-13,2016,7,13,2,36.80 N,128.53 E,경북 영주시 서쪽 9km 지역,36.80 
37,2016-07-09,2016,7,9,2.6,38.69 N,125.83 E,북한 황해북도 송림시 동남동쪽 18km 지역,38.69 
36,2016-07-09,2016,7,9,2.3,35.48 N,129.97 E,울산 동구 동쪽 50km 해역,35.48 
35,2016-07-05,2016,7,5,2.6,35.51 N,129.87 E,울산 동구 동쪽 41km 해역,35.51 
34,2016-07-05,2016,7,5,5,35.51 N,129.99 E,울산 동구 동쪽 52km 해역,35.51 
33,2016-06-25,2016,6,25,2.6,38.74 N,125.86 E,북한 황해북도 송림시 20km 지역,38.74 
32,2016-06-21,2016,6,21,3.1,39.49 N,126.19 E,북한 평안남도 성천군 북쪽 28km 지역,39.49 
31,2016-06-15,2016,6,15,2.6,35.87 N,129.69 E,경북 포항시 남구 동남동쪽 33km 해역,35.87 
30,2016-06-13,2016,6,13,2.7,34.30 N,124.68 E,전남 신안군 흑산면 서남서쪽 82km 해역,34.30 
29,2016-06-07,2016,6,7,2.3,33.05 N,126.17 E,제주 제주시 고산 남쪽 27km 해역,33.05 
28,2016-06-05,2016,6,5,2.2,36.00 N,129.58 E,경북 포항시 남구 동쪽 20km 해역,36.00 
27,2016-06-03,2016,6,3,3,36.39 N,127.92 E,경북 상주시 서쪽 22km 지역,36.39 
26,2016-05-24,2016,5,24,2.3,33.61 N,125.56 E,제주 제주시 고산 서북서쪽 66km 해역,33.61 
25,2016-05-22,2016,5,22,3.5,40.68 N,127.15 E,북한 함경남도 장진군 북북서쪽 34km 지역,40.68 
24,2016-05-03,2016,5,3,2.4,37.11 N,129.02 E,강원 태백시 남남동쪽 7km 지역,37.11 
23,2016-04-30,2016,4,30,2.6,37.75 N,125.40 E,북한 황해남도 옹진군 남쪽 20km 지역,37.75 
22,2016-04-28,2016,4,28,2.4,35.42 N,128.56 E,경남 창녕군 남남동쪽 15km 지역,35.42 
21,2016-04-27,2016,4,27,2.3,35.57 N,128.34 E,경남 합천군 동쪽 16km 지역,35.57 
20,2016-04-25,2016,4,25,2.3,33.51 N,125.91 E,제주 제주시 고산 북서쪽 34km 해역,33.51 
19,2016-04-21,2016,4,21,2.7,33.53 N,125.89 E,제주 제주시 고산 북서쪽 36km 해역,33.53 
18,2016-04-21,2016,4,21,2.7,33.52 N,125.92 E,제주 제주시 고산 북서쪽 34km 해역,33.52 
17,2016-04-13,2016,4,13,2.1,35.92 N,127.93 E,경북 김천시 남남서쪽 28km 지역,35.92 
16,2016-03-28,2016,3,28,2.9,35.22 N,127.96 E,경남 진주시 서북서쪽 12km 지역,35.22 
15,2016-03-27,2016,3,27,3.1,39.38 N,126.06 E,북한 평안남도 성천시 북서쪽 20km 지역,39.38 
14,2016-03-27,2016,3,27,2.3,35.33 N,130.04 E,울산 동구 동남동쪽 59km 해역,35.33 
13,2016-03-15,2016,3,15,2.5,37.60 N,129.82 E,강원 삼척시 동북동쪽 60km 해역,37.60 
12,2016-03-15,2016,3,15,2.7,36.31 N,128.21 E,경북 상주시 남남동쪽 12km 지역,36.31 
11,2016-03-14,2016,3,14,3.1,38.71 N,125.87 E,북한 황해북도 송림시 동쪽 21km 지역,38.71 
10,2016-03-05,2016,3,5,3.3,35.61 N,129.82 E,울산 동구 동북동쪽 38km 해역,35.61 
9,2016-03-02,2016,3,2,2.7,36.35 N,127.20 E,충남 공주시 남동쪽 13km 지역,36.35 
8,2016-02-28,2016,2,28,2.5,38.73 N,125.85 E,북한 황해북도 송림시 동쪽 19km 지역,38.73 
7,2016-02-26,2016,2,26,2.2,33.23 N,127.19 E,제주 서귀포시 성산 동남동쪽 34km 해역,33.23 
6,2016-02-24,2016,2,24,2.9,33.52 N,125.92 E,제주 제주시 고산 북서쪽 34km 해역,33.52 
5,2016-02-11,2016,2,11,3.1,36.21 N,127.48 E,충남 금산군 북쪽 12km 지역,36.21 
4,2016-01-31,2016,1,31,2,36.95 N,129.92 E,경북 울진군 동쪽 46 km 해역,36.95 
3,2016-01-25,2016,1,25,2.3,36.22 N,128.69 E,경북 의성군 남쪽 14km 지역,36.22 
2,2016-01-23,2016,1,23,2.4,38.42 N,126.25 E,북한 황해북도 평산군 북서쪽 16km 지역,38.42 
1,2016-01-06,2016,1,6,3,36.01 N,128.07 E,경북 김천시 남쪽 14km 지역,36.01 